Tribunais,IPN_2016,IPN_2017,IPN_2018,IPP_2016,IPP_2017,IPP_2018,CNC_2016,CNC_2017,CNC_2018,CPC_2016,CPC_2017,CPC_2018,CNCF_2016,CNCF_2017,CNCF_2018,CPCF_2016,CPCF_2017,CPCF_2018,PBC_2016,PBC_2017,PBC_2018,PBCF_2016,PBCF_2017,PBCF_2018,PBE_2016,PBE_2017,PBE_2018,PBEF_2016,PBEF_2017,PBEF_2018,SC_2016,SC_2017,SC_2018,SCF_2016,SCF_2017,SCF_2018,SE_2016,SE_2017,SE_2018,SEF_2016,SEF_2017,SEF_2018,EPI_2016,EPI_2017,EPI_2018,EPIF_2016,EPIF_2017,EPIF_2018,EPP_2016,EPP_2017,EPP_2018,EPPF_2016,EPPF_2017,EPPF_2018
TJSP,61110,75854,75884,169545,154681,117586,47779,67541,70365,172845,201507,207668,1,179,164,189,232,393,41369,60150,74536,71,116,198,102,-,22,-,-,-,22006,27201,30375,282,190,314,-,-,29,-,-,-,740,-,144,2,-,-,961,-,134,85,-,1
TJRS,54850,60531,67377,32363,35191,36722,62466,66355,68815,72912,75839,71723,216,258,281,395,492,571,106290,111752,126240,160,187,225,851,1077,1329,15,12,16,110077,114010,122320,223,252,435,721,882,1218,12,8,14,2340,2654,2554,50,54,59,4143,5665,7163,223,263,320
TJRJ,50171,44614,45806,25267,3882,1382,48361,46340,40341,101839,98354,69904,54,84,64,63,128,240,73234,69675,78201,11,13,84,-,-,31,-,-,1,53048,64920,43734,33,31,148,-,-,133,-,-,-,-,-,540,-,-,27,-,-,970,-,-,29
TJMG,29794,43282,46812,60160,80235,78081,50671,47320,55702,90473,98004,95583,378,76,156,1504,159,293,48009,62321,58896,511,9,22,1105,2174,2164,3728,4,4,9959,28168,28219,856,11,40,530,1774,1524,480,2,1,1496,3691,3053,4104,12,12,1848,7873,8889,4659,17,25
TJPR,7677,9659,20340,16591,22212,33021,27747,32432,31921,49794,30194,57624,9,162,186,21,2016,292,20719,35149,35250,6,1381,76,141,123,2193,-,4,9,5863,6672,20820,7,83,134,143,83,2399,-,22,6,100,23,2803,-,22,35,328,264,3018,-,50,56
TJSC,8944,13309,11488,7439,9295,1726,16084,18196,19683,31517,34183,36362,-,18,35,15,36,64,15833,16578,16295,14,27,19,290,485,531,-,-,-,9167,9347,5847,1,41,24,291,554,724,-,4,-,742,760,879,-,-,1,1237,1602,1850,-,-,1
TJDFT,8300,16081,16725,4342,8196,8433,16353,19031,19987,14995,15409,15624,64,78,91,15,81,115,17639,18392,19553,53,47,50,415,141,97,-,-,-,5299,6092,5200,50,88,106,818,1987,2609,1,5,9,531,1907,1967,6,14,20,1713,5769,7653,7,13,23
TJMT,7588,9170,12263,20333,10130,12555,13427,17066,19444,26242,38432,37288,29,83,108,69,262,307,16491,19048,20588,37,106,63,119,123,902,1,2,17,3600,12433,14961,19,52,60,112,460,658,1,6,4,210,281,919,2,29,51,476,2431,2452,7,77,91
TJPE,4868,5234,5951,6453,5735,4918,13524,13623,18130,49283,47311,47252,29,37,55,41,70,112,11388,16387,18794,3,10,18,57,168,192,-,-,4,5067,7273,8424,3,13,21,50,137,173,-,-,-,256,181,342,-,1,6,485,511,932,-,1,5
TJES,4473,6128,6421,4630,4398,4297,9675,14660,15426,9508,28560,31652,59,20,37,29,47,64,6498,9474,15431,4,31,10,72,335,199,-,-,4,6289,9601,14137,7,23,19,81,136,197,-,-,4,416,343,645,2,8,1,468,390,496,12,10,3
TJGO,3965,5034,6508,8870,7552,9391,10966,19803,24018,38191,55454,64921,106,78,66,325,311,286,10413,17344,16729,87,14,25,286,327,338,8,1,2,7008,8021,9813,124,85,119,274,283,309,6,5,3,342,517,688,9,5,9,1091,1394,1646,85,30,28
TJPA,3447,3869,5718,4449,4394,4154,5425,5778,8124,34235,27886,23853,29,44,22,43,76,80,10254,12127,12157,4,11,18,30,22,40,14,8,4,8571,10351,11285,6,10,30,24,29,33,2,2,3,47,46,35,3,4,3,113,137,132,11,7,6
TJMA,1200,1290,1857,3581,2606,3662,8764,12087,12638,20228,25795,27190,10,12,22,26,38,33,4301,8373,10532,-,-,5,27,47,58,-,-,-,1088,1511,1811,1,7,5,47,37,45,-,-,-,65,57,54,-,-,1,182,188,184,1,1,1
TJCE,775,2183,3514,4451,2697,7856,5488,7224,20088,40295,26844,41523,12,13,29,22,42,46,11318,17257,15576,11,14,9,163,83,95,-,-,2,1785,2298,3633,4,9,27,64,187,94,-,-,-,77,89,187,-,-,1,430,297,385,-,-,-
TJBA,12,12,3,3458,3077,1485,4080,4379,5753,29071,29780,32379,3,10,21,4,8,33,2850,10223,14251,1,-,2,6,15,252,-,-,1,1,1978,4397,1,-,1,4,12,9,-,-,-,2,-,3,-,-,-,83,127,28,-,-,-
TJMS,12879,13765,13299,4978,4777,4366,17576,18078,18579,23910,26010,30968,16,55,72,20,60,106,15541,15666,16007,-,17,42,390,919,959,-,-,-,6187,5794,7510,5,20,65,479,858,1412,-,-,1,1136,1727,2507,-,5,10,802,1242,4421,-,1,15
TJAM,5339,6285,6317,4858,4783,4003,7522,7496,11289,22280,20128,22328,94,22,11,452,40,54,6290,7615,11365,114,6,9,4,180,556,1,-,-,6798,4936,4470,44,11,8,2,176,506,2,-,-,375,947,1060,2,2,9,13,1617,2110,14,5,12
TJPB,2982,3471,4185,5351,5994,5551,6382,6530,8657,11200,7649,9785,18,22,38,40,10,43,6488,5625,6264,14,5,4,22,93,162,-,-,-,3619,3437,3978,16,2,14,52,162,188,-,1,-,138,159,314,-,-,-,565,572,753,3,3,3
TJRO,2650,2829,2690,5052,4827,2944,5215,5570,7998,6936,8379,8659,6,11,19,10,52,18,6368,6216,6371,8,16,21,535,665,798,-,1,5,2953,2951,4055,6,11,8,645,621,621,-,-,-,870,741,628,4,2,13,1276,1277,1612,9,6,10
TJAC,2472,2822,3199,2495,12,856,3577,4200,3524,4705,5037,4695,5,8,13,4,8,23,3141,3960,3870,3,6,6,11,26,119,-,-,-,3288,854,2165,3,10,15,17,40,146,-,-,-,20,48,79,-,-,2,30,76,186,-,-,-
TJTO,2308,2642,2744,2086,2422,2386,4162,4361,5150,6512,6025,6354,6,14,22,13,47,62,4501,5022,4922,3,10,22,66,164,304,-,-,2,1907,2287,1248,3,7,9,52,118,240,-,-,2,384,521,530,1,3,8,406,765,969,2,5,12
TJSE,1875,2229,2400,1457,1625,2231,2907,3178,3178,5433,6216,4290,3,18,20,5,23,45,3516,3296,5739,3,3,7,246,316,411,-,1,1,781,1103,1407,4,3,12,202,333,435,-,1,1,313,481,626,1,1,4,787,1006,1268,1,3,6
TJPI,1175,1756,1161,2599,3181,2208,3813,4702,4160,10658,13271,14491,6,34,42,14,46,63,1873,2222,4500,3,7,27,21,38,27,-,-,-,606,993,1351,-,-,-,15,16,13,-,-,-,61,10,10,-,-,1,70,42,27,-,-,1
TJRR,972,1039,927,6330,5207,4795,1271,1409,1482,1680,1117,2081,2,6,4,5,9,11,1987,2018,1283,1,2,5,19,13,31,2,3,2,1395,1476,1474,-,2,4,2,17,3,-,1,-,63,77,77,2,3,1,69,130,222,9,5,14
TJAL,184,470,495,1549,2506,2117,1123,1300,1665,5110,5666,6436,-,2,13,2,5,15,508,1745,1457,-,-,2,,-,8,-,-,-,700,2193,675,-,2,2,-,2,10,-,-,-,-,-,4,-,-,14,1,8,7,-,-,-
TJAP,130,21,30,77,36,32,2495,2936,3418,1477,1987,2022,-,1,5,4,1,10,3240,2412,3377,3,5,1,1,1,-,-,-,-,1221,534,876,1,2,2,1,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
TJRN,-,17,3052,3282,1997,2613,5153,4205,8449,9209,9932,11268,136,251,15,1496,25,26,2778,1484,2832,136,209,7,10,12,14,7,11,-,1044,1363,1168,243,112,343,-,15,9,-,4,-,16,6,30,8,3,-,25,22,34,178,171,-
TJ,280140,333596,367166,412046,391648,359371,402006,455800,507984,890538,944969,983923,1291,1596,1611,4826,4324,3405,452837,541531,601016,1261,2252,977,4989,7547,11832,3776,47,74,279327,337797,355353,1942,1077,1965,4626,8920,13737,504,61,48,10740,15266,20678,4197,168,288,17603,33405,47541,5306,668,662
